"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1868","GO:0007019",0.385433844716193,0.734118184481107,12,51,"microtubule depolymerization","BP"
"13479","GO:1904152",0.385511157409531,0.806522234909983,5,13,"regulation of retrograde protein transport, ER to cytosol","BP"
"11463","GO:0099011",0.385530949820101,0.868299982829073,2,9,"neuronal dense core vesicle exocytosis","BP"
"1414","GO:0006309",0.385700371902035,0.783660478527651,6,20,"apoptotic DNA fragmentation","BP"
"5409","GO:0034486",0.38570610716302,0.843301299495496,3,9,"vacuolar transmembrane transport","BP"
"5339","GO:0034331",0.385886653882718,0.752101749531181,8,52,"cell junction maintenance","BP"
"7620","GO:0048066",0.38594376268008,0.742231359166157,10,48,"developmental pigmentation","BP"
"6821","GO:0044849",0.385982756602785,0.800583299415264,5,15,"estrous cycle","BP"
"2720","GO:0010624",0.386110118697932,0.843038869771926,3,9,"regulation of Schwann cell proliferation","BP"
"2967","GO:0014010",0.386110118697932,0.843038869771926,3,9,"Schwann cell proliferation","BP"
"8935","GO:0060435",0.386163844253709,0.879290874639302,2,6,"bronchiole development","BP"
"6977","GO:0045591",0.386177314919859,0.778749520640851,6,24,"positive regulation of regulatory T cell differentiation","BP"
"7204","GO:0045986",0.386241323692598,0.832322402566335,3,13,"negative regulation of smooth muscle contraction","BP"
"7826","GO:0048662",0.38641009649936,0.730944883987828,13,49,"negative regulation of smooth muscle cell proliferation","BP"
"3121","GO:0015691",0.386503574009932,0.879102635754581,2,6,"cadmium ion transport","BP"
"9841","GO:0070574",0.386503574009932,0.879102635754581,2,6,"cadmium ion transmembrane transport","BP"
"12277","GO:1901021",0.386511116669916,0.787014178303515,5,26,"positive regulation of calcium ion transmembrane transporter activity","BP"
"6546","GO:0043328",0.386511770915233,0.809714659754561,4,16,"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","BP"
"5514","GO:0035148",0.386538785844042,0.6898101657824,30,147,"tube formation","BP"
"5284","GO:0034157",0.386598344830959,0.886580670615687,2,5,"positive regulation of toll-like receptor 7 signaling pathway","BP"
"4935","GO:0032879",0.386619772215155,0.636693414421561,369,2007,"regulation of localization","BP"
"10329","GO:0071864",0.386672996206155,0.886541497151184,2,5,"positive regulation of cell proliferation in bone marrow","BP"
"1628","GO:0006625",0.386743204062915,0.83900227818977,3,10,"protein targeting to peroxisome","BP"
"7045","GO:0045671",0.386965289045268,0.772063853728351,6,34,"negative regulation of osteoclast differentiation","BP"
"10891","GO:0090155",0.387014813976729,0.878819075722782,2,6,"negative regulation of sphingolipid biosynthetic process","BP"
"6378","GO:0042789",0.387038789840862,0.741602980002877,10,47,"mRNA transcription by RNA polymerase II","BP"
"5730","GO:0035774",0.387126344745837,0.783212279309525,5,33,"positive regulation of insulin secretion involved in cellular response to glucose stimulus","BP"
"10317","GO:0071816",0.387171093356357,0.807839157771171,4,17,"tail-anchored membrane protein insertion into ER membrane","BP"
"2733","GO:0010638",0.387264468907651,0.655147093034782,103,499,"positive regulation of organelle organization","BP"
"9091","GO:0060685",0.387389510469981,0.878611028304769,2,6,"regulation of prostatic bud formation","BP"
"12558","GO:1901983",0.387443844426134,0.779768206633119,6,22,"regulation of protein acetylation","BP"
"6616","GO:0043488",0.387475048986591,0.683443068404613,35,173,"regulation of mRNA stability","BP"
"12891","GO:1902894",0.387475724157769,0.756253012466243,9,28,"negative regulation of miRNA transcription","BP"
"2311","GO:0009144",0.387495920961428,0.672846855000126,48,260,"purine nucleoside triphosphate metabolic process","BP"
"3362","GO:0016239",0.387581627297007,0.70386653207883,21,95,"positive regulation of macroautophagy","BP"
"7598","GO:0048003",0.387683015144998,0.873381036038341,2,7,"antigen processing and presentation of lipid antigen via MHC class Ib","BP"
"7600","GO:0048007",0.387683015144998,0.873381036038341,2,7,"antigen processing and presentation, exogenous lipid antigen via MHC class Ib","BP"
"4192","GO:0030334",0.387808997976721,0.644554846790914,179,954,"regulation of cell migration","BP"
"3226","GO:0015858",0.387877947296845,0.864761694673047,2,10,"nucleoside transport","BP"
"1411","GO:0006304",0.388083405644873,0.783670683563216,5,30,"DNA modification","BP"
"12333","GO:1901201",0.388171608901365,0.790780417951378,5,20,"regulation of extracellular matrix assembly","BP"
"11220","GO:0097325",0.388336980463635,0.885666440361374,2,5,"melanocyte proliferation","BP"
"2050","GO:0007405",0.388447255055716,0.720522388576082,14,73,"neuroblast proliferation","BP"
"1207","GO:0003415",0.38860262749058,0.862657274475926,3,6,"chondrocyte hypertrophy","BP"
"7150","GO:0045900",0.388799867743898,0.877826257046232,2,6,"negative regulation of translational elongation","BP"
"1883","GO:0007041",0.389009725611603,0.687550737024902,31,134,"lysosomal transport","BP"
"14323","GO:1990418",0.389447466078639,0.922851141371364,2,3,"response to insulin-like growth factor stimulus","BP"
"9339","GO:0061156",0.389498718770897,0.877436407095533,2,6,"pulmonary artery morphogenesis","BP"
"8581","GO:0052646",0.38951077406076,0.863767270898063,2,10,"alditol phosphate metabolic process","BP"
"13305","GO:1903798",0.389553925718624,0.82709840277072,3,15,"regulation of miRNA processing","BP"
"8915","GO:0060412",0.389793477133553,0.758708651802554,7,41,"ventricular septum morphogenesis","BP"
"8871","GO:0060349",0.390028531954656,0.701171109679317,21,99,"bone morphogenesis","BP"
"4847","GO:0032720",0.390040995581494,0.73080122974123,11,64,"negative regulation of tumor necrosis factor production","BP"
"4745","GO:0032510",0.390077913893122,0.793520776313211,5,17,"endosome to lysosome transport via multivesicular body sorting pathway","BP"
"6491","GO:0043171",0.390123355407249,0.789277589820309,5,20,"peptide catabolic process","BP"
"2888","GO:0010896",0.3902828787035,0.812763639357453,4,13,"regulation of triglyceride catabolic process","BP"
"2254","GO:0009070",0.390414491624871,0.806849573314639,4,16,"serine family amino acid biosynthetic process","BP"
"13351","GO:1903897",0.390429093497599,0.783222118138036,7,16,"regulation of PERK-mediated unfolded protein response","BP"
"4","GO:0000018",0.390447889668075,0.687443761910818,29,142,"regulation of DNA recombination","BP"
"12678","GO:1902255",0.390552291469682,0.876847442041618,2,6,"positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator","BP"
"7978","GO:0050678",0.390880373017414,0.662653105475961,61,357,"regulation of epithelial cell proliferation","BP"
"11567","GO:0099623",0.390908671480827,0.782973151740371,5,27,"regulation of cardiac muscle cell membrane repolarization","BP"
"12513","GO:1901844",0.390924122406378,0.833338673044634,3,11,"regulation of cell communication by electrical coupling involved in cardiac conduction","BP"
"10097","GO:0071360",0.391042243340883,0.80638707119351,4,16,"cellular response to exogenous dsRNA","BP"
"6438","GO:0043032",0.391133242967408,0.77241585950416,6,27,"positive regulation of macrophage activation","BP"
"9511","GO:0061737",0.39114158939602,0.884183400680979,2,5,"leukotriene signaling pathway","BP"
"8676","GO:0060042",0.391183227073744,0.739055393707613,9,67,"retina morphogenesis in camera-type eye","BP"
"10733","GO:0075523",0.391283561946508,0.876437774944077,2,6,"viral translational frameshifting","BP"
"334","GO:0001841",0.391660467262859,0.696744339805675,23,100,"neural tube formation","BP"
"1080","GO:0003184",0.391734828486494,0.788033663092753,5,20,"pulmonary valve morphogenesis","BP"
"6282","GO:0042492",0.391967246666803,0.801791889121497,5,13,"gamma-delta T cell differentiation","BP"
"380","GO:0001941",0.39200199273224,0.76593732532754,6,40,"postsynaptic membrane organization","BP"
"7309","GO:0046174",0.392003156628773,0.862242218227979,2,10,"polyol catabolic process","BP"
"8120","GO:0050942",0.392151730737374,0.870795912787574,2,7,"positive regulation of pigment cell differentiation","BP"
"9285","GO:0061043",0.392300171783399,0.80538134913865,5,12,"regulation of vascular wound healing","BP"
"13766","GO:1904776",0.392309462530681,0.838986327319658,3,9,"regulation of protein localization to cell cortex","BP"
"6038","GO:0038155",0.392654738671411,0.875667690121919,2,6,"interleukin-23-mediated signaling pathway","BP"
"9931","GO:0070920",0.392689406834821,0.823726753050366,3,16,"regulation of regulatory ncRNA processing","BP"
"8209","GO:0051136",0.392692749021656,0.860270894002298,3,6,"regulation of NK T cell differentiation","BP"
"10916","GO:0090189",0.392742068122767,0.799584613130265,4,21,"regulation of branching involved in ureteric bud morphogenesis","BP"
"9017","GO:0060558",0.392821290945145,0.850263958486859,3,7,"regulation of calcidiol 1-monooxygenase activity","BP"
"6045","GO:0038162",0.39291664639081,0.875520309401962,2,6,"erythropoietin-mediated signaling pathway","BP"
"14822","GO:2000634",0.392917602010059,0.875519771486678,2,6,"regulation of primary miRNA processing","BP"
"6358","GO:0042748",0.392935140132505,0.875509899117999,2,6,"circadian sleep/wake cycle, non-REM sleep","BP"
"276","GO:0001768",0.392995554906526,0.795332151629469,5,15,"establishment of T cell polarity","BP"
"8550","GO:0051954",0.39300589626342,0.756360479276418,7,40,"positive regulation of amine transport","BP"
"11996","GO:0150105",0.393062080447905,0.78253855989802,5,25,"protein localization to cell-cell junction","BP"
"13526","GO:1904262",0.393238539668879,0.731520702700424,11,49,"negative regulation of TORC1 signaling","BP"
"4540","GO:0032075",0.393438130021608,0.875226585513612,2,6,"positive regulation of nuclease activity","BP"
"7544","GO:0046836",0.393452823392567,0.870038126811906,2,7,"glycolipid transport","BP"
"12751","GO:1902474",0.393489771846272,0.875197478529044,2,6,"positive regulation of protein localization to synapse","BP"
"8637","GO:0055118",0.393660100524051,0.87510145040639,2,6,"negative regulation of cardiac muscle contraction","BP"
"14375","GO:1990708",0.393671281527881,0.875095145400542,2,6,"conditioned place preference","BP"
"7086","GO:0045765",0.39367433824393,0.66324423718481,55,294,"regulation of angiogenesis","BP"
"12949","GO:1903010",0.393711083915036,0.861192168687582,2,10,"regulation of bone development","BP"
"7215","GO:0046006",0.393972376556523,0.742570669870625,9,41,"regulation of activated T cell proliferation","BP"
"14898","GO:2000758",0.394008544875917,0.874904882380175,2,6,"positive regulation of peptidyl-lysine acetylation","BP"
"5396","GO:0034447",0.394033045090902,0.874891054916721,2,6,"very-low-density lipoprotein particle clearance","BP"
"12308","GO:1901137",0.394080016898767,0.646429544276012,112,602,"carbohydrate derivative biosynthetic process","BP"
"9143","GO:0060754",0.394161813797993,0.874818366981637,2,6,"positive regulation of mast cell chemotaxis","BP"
"4930","GO:0032874",0.394181314979524,0.767521289507209,7,22,"positive regulation of stress-activated MAPK cascade","BP"
"9740","GO:0070304",0.394181314979524,0.767521289507209,7,22,"positive regulation of stress-activated protein kinase signaling cascade","BP"
"6756","GO:0044381",0.394253715159409,0.87476647643896,2,6,"glucose import in response to insulin stimulus","BP"
"9530","GO:0061795",0.394335637101345,0.809837237111728,4,13,"Golgi lumen acidification","BP"
"13879","GO:1904996",0.394387090704646,0.764879760133244,7,24,"positive regulation of leukocyte adhesion to vascular endothelial cell","BP"
"2317","GO:0009150",0.394424007665059,0.65939107665,61,349,"purine ribonucleotide metabolic process","BP"
"2208","GO:0008544",0.394426248195826,0.663275847193854,50,390,"epidermis development","BP"
"14311","GO:1990379",0.394431503349694,0.874666059073983,2,6,"lipid transport across blood-brain barrier","BP"
"7025","GO:0045651",0.394587616571438,0.784430866047784,6,16,"positive regulation of macrophage differentiation","BP"
"11445","GO:0098957",0.394645980521957,0.874544862579949,2,6,"anterograde axonal transport of mitochondrion","BP"
"2459","GO:0009449",0.394646064703297,0.874544814998688,2,6,"gamma-aminobutyric acid biosynthetic process","BP"
"9156","GO:0060770",0.394682784975403,0.874524058935755,2,6,"negative regulation of epithelial cell proliferation involved in prostate gland development","BP"
"130","GO:0000727",0.394694129147653,0.857393021376049,2,12,"double-strand break repair via break-induced replication","BP"
"4945","GO:0032897",0.394777453619842,0.803625628914428,4,16,"negative regulation of viral transcription","BP"
"1053","GO:0003156",0.394828404909248,0.793449594651064,4,29,"regulation of animal organ formation","BP"
"8630","GO:0055094",0.394893088388893,0.758206717874721,7,32,"response to lipoprotein particle","BP"
"9699","GO:0070227",0.39497200158472,0.705742729610827,17,84,"lymphocyte apoptotic process","BP"
"8171","GO:0051054",0.39499623546768,0.660581056686336,59,292,"positive regulation of DNA metabolic process","BP"
"6637","GO:0043535",0.395206440571351,0.704437460434928,17,93,"regulation of blood vessel endothelial cell migration","BP"
"2308","GO:0009141",0.39528581217943,0.663736866716635,51,276,"nucleoside triphosphate metabolic process","BP"
"2249","GO:0009065",0.395314850763911,0.815764820494454,3,25,"glutamine family amino acid catabolic process","BP"
"3483","GO:0018198",0.395428783314164,0.75776433043718,7,32,"peptidyl-cysteine modification","BP"
"7774","GO:0048549",0.395458158373642,0.868865644743948,2,7,"positive regulation of pinocytosis","BP"
"3308","GO:0016073",0.395523254405578,0.714609914683449,15,59,"snRNA metabolic process","BP"
"7764","GO:0048534",0.395666315738824,0.69284097452223,23,102,"hematopoietic or lymphoid organ development","BP"
"12827","GO:1902685",0.395684163365991,0.89470119263138,2,4,"positive regulation of receptor localization to synapse","BP"
"10013","GO:0071218",0.395812674210278,0.777266451332173,6,19,"cellular response to misfolded protein","BP"
"6983","GO:0045600",0.395895664444267,0.714957119673659,14,67,"positive regulation of fat cell differentiation","BP"
"2286","GO:0009116",0.39611528614549,0.726652777366785,11,58,"nucleoside metabolic process","BP"
"5998","GO:0038061",0.396170768821586,0.688256032091256,25,118,"non-canonical NF-kappaB signal transduction","BP"
"4408","GO:0031394",0.39622634971108,0.873649917699811,2,6,"positive regulation of prostaglandin biosynthetic process","BP"
"12000","GO:0150115",0.396288776140674,0.700368239801821,18,103,"cell-substrate junction organization","BP"
"13527","GO:1904263",0.396364018735124,0.720855193499487,13,53,"positive regulation of TORC1 signaling","BP"
"8214","GO:0051145",0.396521493841199,0.707894768488575,17,65,"smooth muscle cell differentiation","BP"
"4373","GO:0031214",0.396646998067432,0.676962604518658,32,180,"biomineral tissue development","BP"
"6954","GO:0045454",0.396659818921524,0.727989824142065,12,42,"cell redox homeostasis","BP"
